time_stamp,open,high,low,close,vol
2020-03-18,1.9671,2.0076,1.8709,1.9989,17198139.7
2020-03-19,1.9986,2.3975,1.9687,2.2767,20836190.12
2020-03-20,2.2753,2.5198,1.912,2.2029,35332072.26
2020-03-21,2.2033,2.3567,2.1065,2.2735,21086684.76
2020-03-22,2.2736,2.3907,2.1101,2.1344,19793538.85
2020-03-23,2.1343,2.338,2.063,2.2856,18154476.8
2020-03-24,2.2859,2.3758,2.2701,2.3439,13129386.45
2020-03-25,2.3442,2.37,2.23,2.2965,10901104.58
2020-03-26,2.2962,2.343,2.2608,2.3236,8826424.43
2020-03-27,2.3236,2.3683,2.156,2.1928,11898230.17
2020-03-28,2.1927,2.2383,2.0883,2.1996,12971266.8
2020-03-29,2.1995,2.2153,2.0995,2.1133,6945675.02
2020-03-30,2.1145,2.2776,2.1083,2.2269,9213390.27
2020-03-31,2.2269,2.2549,2.1842,2.2086,6840046.38
2020-04-01,2.209,2.2996,2.1324,2.2549,10421324.16
2020-04-02,2.255,2.4968,2.2475,2.2895,14720028.78
2020-04-03,2.29,2.3842,2.2672,2.3325,9487365.97
2020-04-04,2.3332,2.4034,2.2836,2.3559,8091416.27
2020-04-05,2.3567,2.3932,2.3154,2.3505,5086467.89
2020-04-06,2.3505,2.7698,2.35,2.7586,18776683.66
2020-04-07,2.7581,2.8253,2.5513,2.6332,15227854.46
2020-04-08,2.6333,2.7934,2.5847,2.7486,12807806.68
2020-04-09,2.7486,2.7597,2.68,2.7239,5851815.51
2020-04-10,2.7244,2.7463,2.4116,2.4916,13460224.33
2020-04-11,2.4919,2.5478,2.4213,2.5083,6404505.02
2020-04-12,2.508,2.5897,2.4546,2.498,6693663.05
2020-04-13,2.4972,2.4981,2.3412,2.4424,12268623.04
2020-04-14,2.4425,2.5025,2.4145,2.4655,5434530.58
2020-04-15,2.4652,2.5007,2.39,2.4015,6864780.21
2020-04-16,2.4015,2.7175,2.3318,2.6569,16562800.57
2020-04-17,2.6556,2.6723,2.5784,2.6129,7847106.34
2020-04-18,2.6125,2.7639,2.6112,2.7265,7749674.53
2020-04-19,2.7266,2.7347,2.5366,2.598,11326662.86
2020-04-20,2.5972,2.7061,2.4363,2.5077,16422468.97
2020-04-21,2.5065,2.5692,2.4778,2.5211,8396116.94
2020-04-22,2.5211,2.6521,2.5056,2.6224,6242501.85
2020-04-23,2.6235,2.762,2.5765,2.6811,9406687.72
2020-04-24,2.6809,2.7379,2.66,2.7068,8040719.79
2020-04-25,2.7068,2.8088,2.64,2.7024,8874935.88
2020-04-26,2.7012,2.7827,2.6728,2.7375,8182933.2
2020-04-27,2.7375,2.8172,2.6801,2.743,12013467.24
2020-04-28,2.743,2.7747,2.6874,2.7614,8622299.02
2020-04-29,2.7609,3.089,2.7551,3.0059,21932316.85
2020-04-30,3.0058,3.1187,2.7477,2.822,19748582.59
2020-05-01,2.8208,2.9296,2.8195,2.8731,8743612.12
2020-05-02,2.8733,2.9485,2.8518,2.9396,6565534.1
2020-05-03,2.9397,3.01,2.7666,2.8387,10310737.04
2020-05-04,2.8384,2.8456,2.6268,2.7687,11585090.53
2020-05-05,2.7692,2.8269,2.7129,2.7706,6468637.44
2020-05-06,2.7698,2.8191,2.6203,2.6522,8130545.08
2020-05-07,2.6522,2.7956,2.5911,2.7572,13462500.24
2020-05-08,2.7573,2.8245,2.6988,2.7518,9488473.4
2020-05-09,2.7521,2.8373,2.7306,2.7516,9218218.11
2020-05-10,2.7516,2.7554,2.2779,2.4434,20142604.27
2020-05-11,2.4435,2.4941,2.267,2.3978,12927072.96
2020-05-12,2.3969,2.4687,2.3938,2.441,7380068.29
2020-05-13,2.4409,2.5577,2.4226,2.5245,7231895.13
2020-05-14,2.5245,2.6515,2.4682,2.6228,11035900.08
2020-05-15,2.6228,2.6639,2.5342,2.5855,11749481.59
2020-05-16,2.5853,2.6837,2.57,2.6361,9973391.3
2020-05-17,2.6362,2.672,2.5931,2.6205,6915989.58
2020-05-18,2.62,2.7486,2.6073,2.6653,11147526.81
2020-05-19,2.6652,2.6683,2.5606,2.6543,7462912.25
2020-05-20,2.653,2.6772,2.5055,2.597,10300961.15
2020-05-21,2.5975,2.6166,2.4059,2.4621,8360653.16
2020-05-22,2.4622,2.6466,2.4408,2.5948,9743621.95
2020-05-23,2.5946,2.6222,2.5436,2.5631,6936985.45
2020-05-24,2.5626,2.6118,2.4855,2.4879,8109723.79
2020-05-25,2.4887,2.5479,2.4475,2.5296,5026473.13
2020-05-26,2.5304,2.5364,2.4568,2.5034,4352859.12
2020-05-27,2.5033,2.577,2.4995,2.5715,5427168.83
2020-05-28,2.5714,2.6194,2.5183,2.612,5577593.35
2020-05-29,2.6113,2.6692,2.5889,2.6144,5998494.71
2020-05-30,2.6147,2.7806,2.5969,2.7715,8054685.59
2020-05-31,2.7717,2.7742,2.6476,2.6731,8793367.4
2020-06-01,2.6722,2.83,2.6624,2.8214,9842934.56
2020-06-02,2.8214,2.8939,2.575,2.6756,13945544.07
2020-06-03,2.6748,2.7098,2.6328,2.6958,6620031.17
2020-06-04,2.6958,2.7483,2.6625,2.7203,6329555.25
2020-06-05,2.7201,2.8703,2.7068,2.8143,9928226.04
2020-06-06,2.8137,2.8461,2.7703,2.7982,6954722.69
2020-06-07,2.7986,2.8288,2.7313,2.8098,6966955.95
